GEOID,votes_Biden_20,votes_Trump_20,votes_total_20,margin_Biden_20,votes_Curran_21,pct_Curran_21,margin_Curran_21_ifwon,votes_Blakeman_21,votes_total_21,pct_Blakeman_21,margin_Blakeman_21_ifwon,margin_21,margin_Curran_21,pct_Biden_20,pct_Trump_20,margin_Curran_21_relto_Biden_20,Town
36059-0220066,623,423,1060,18.9,288,61.8,23.61,178,466,38.2,0,23.6,23.6,58.77358491,39.90566038,3.026415094,2
36059-0220068,224,270,506,-9.1,134,44.37,0,168,302,55.63,11.26,-11.26,-11.26,44.2687747,53.35968379,0.101225296,2
36059-0220069,41,82,127,-32.3,18,39.13,0,28,46,60.87,21.74,-21.74,-21.74,32.28346457,64.56692913,6.846535433,2
36059-0220070,2,2,4,0,2,100,100,0,2,0,0,100,100,50,50,50,2
36059-0220071,85,164,253,-31.2,30,31.58,0,65,95,68.42,36.84,-36.84,-36.84,33.59683794,64.82213439,-2.016837945,2
36059-0220072,368,548,931,-19.3,167,38.39,0,266,435,61.15,22.76,-22.76,-22.76,39.5273899,58.86143931,-1.137389903,2
36059-0220074,359,360,727,-0.1,155,49.84,0,156,311,50.16,0.32,-0.32,-0.32,49.38101788,49.51856946,0.458982118,2
36059-0220076,269,281,554,-2.2,83,43.01,0,110,193,56.99,13.99,-13.98,-13.98,48.55595668,50.72202166,-5.545956679,2
36059-0220079,337,364,705,-3.8,123,43.62,0,158,282,56.03,12.41,-12.41,-12.41,47.80141844,51.63120567,-4.18141844,2
36059-0220078,317,403,730,-11.8,104,31.61,0,225,329,68.39,36.78,-36.78,-36.78,43.42465753,55.20547945,-11.81465753,2
36059-0220081,477,505,993,-2.8,208,48.15,0,224,432,51.85,3.7,-3.7,-3.7,48.03625378,50.85599194,0.113746224,2
36059-0220082,235,246,491,-2.2,78,46.99,0,88,166,53.01,6.02,-6.02,-6.02,47.86150713,50.10183299,-0.871507128,2
36059-0220083,157,175,336,-5.4,75,50.34,0.67,74,149,49.66,0,0.68,0.68,46.72619048,52.08333333,3.613809524,2
36059-0220084,48,10,59,64.4,8,72.73,54.55,2,11,18.18,0,54.55,54.55,81.3559322,16.94915254,-8.625932203,2
36059-0220085,219,230,458,-2.4,65,38.92,0,102,167,61.08,22.16,-22.16,-22.16,47.81659389,50.21834061,-8.896593886,2
36059-0220086,347,471,827,-15,174,43.61,0,225,399,56.39,12.78,-12.78,-12.78,41.95888755,56.9528416,1.651112455,2
36059-0220087,1,0,1,100,3,100,100,0,3,0,0,100,100,100,0,0,2
36059-0220089,18,31,49,-26.5,7,41.18,0,10,17,58.82,17.65,-17.64,-17.64,36.73469388,63.26530612,4.445306122,2
36059-0221002,392,157,558,42.1,109,66.87,33.74,54,163,33.13,0,33.74,33.74,70.25089606,28.13620072,-3.380896057,2
36059-0221003,521,279,809,29.9,175,61.62,23.24,109,284,38.38,0,23.24,23.24,64.40049444,34.48702101,-2.780494438,2
36059-0221004,516,197,727,43.9,173,65.04,30.08,93,266,34.96,0,30.08,30.08,70.97661623,27.09766162,-5.936616231,2
36059-0221005,360,221,588,23.6,142,60.17,20.34,94,236,39.83,0,20.34,20.34,61.2244898,37.58503401,-1.054489796,2
36059-0221009,271,91,365,49.3,76,62.81,25.62,45,121,37.19,0,25.62,25.62,74.24657534,24.93150685,-11.43657534,2
36059-0221010,446,110,559,60.1,136,71.58,43.16,54,190,28.42,0,43.16,43.16,79.78533095,19.67799642,-8.205330948,2
36059-0221011,379,234,616,23.5,151,59.45,18.9,103,254,40.55,0,18.9,18.9,61.52597403,37.98701299,-2.075974026,2
36059-0221013,488,284,778,26.2,131,56.71,13.42,100,231,43.29,0,13.42,13.42,62.72493573,36.50385604,-6.014935733,2
36059-0221015,617,367,998,25.1,241,58.92,17.85,168,409,41.08,0,17.84,17.84,61.82364729,36.77354709,-2.903647295,2
36059-0221017,483,215,704,38.1,135,55.56,11.11,108,243,44.44,0,11.12,11.12,68.60795455,30.53977273,-13.04795455,2
36059-0221018,230,389,627,-25.4,86,32.7,0,177,263,67.3,34.6,-34.6,-34.6,36.68261563,62.0414673,-3.98261563,2
36059-0221019,207,61,275,53.1,70,83.33,67.86,13,84,15.48,0,67.85,67.85,75.27272727,22.18181818,8.057272727,2
36059-0221020,728,270,1007,45.5,179,70.47,40.94,75,254,29.53,0,40.94,40.94,72.2939424,26.8123138,-1.823942403,2
36059-0221021,574,175,760,52.5,202,83.13,66.26,41,243,16.87,0,66.26,66.26,75.52631579,23.02631579,7.603684211,2
36059-0221022,2,0,2,100,2,100,100,0,2,0,0,100,100,100,0,0,2
36059-0221023,479,193,677,42.2,146,68.54,37.09,67,213,31.46,0,37.08,37.08,70.75332349,28.50812408,-2.213323486,2
36059-0221024,199,64,264,51.1,42,60.87,21.74,27,69,39.13,0,21.74,21.74,75.37878788,24.24242424,-14.50878788,2
36059-0221025,452,171,635,44.3,125,68.68,37.91,56,182,30.77,0,37.91,37.91,71.18110236,26.92913386,-2.501102362,2
36059-0221026,576,237,826,41,192,63.16,26.32,112,304,36.84,0,26.32,26.32,69.73365617,28.69249395,-6.573656174,2
36059-0221029,4,0,4,100,1,100,100,0,1,0,0,100,100,100,0,0,2
36059-0221030,594,160,761,57,195,74.43,49.24,66,262,25.19,0,49.24,49.24,78.05519054,21.02496715,-3.625190539,2
36059-0221031,598,318,927,30.2,220,61.8,23.6,136,356,38.2,0,23.6,23.6,64.50916936,34.30420712,-2.709169364,2
36059-0221032,186,201,398,-3.8,60,39.47,0,92,152,60.53,21.05,-21.06,-21.06,46.73366834,50.50251256,-7.263668342,2
36059-0221033,220,183,411,9,94,54.65,9.3,78,172,45.35,0,9.3,9.3,53.52798054,44.52554745,1.122019465,2
36059-0221034,318,307,632,1.7,170,53.8,7.59,146,316,46.2,0,7.6,7.6,50.3164557,48.57594937,3.483544304,2
36059-0221035,341,277,634,10.1,174,52.57,5.14,157,331,47.43,0,5.14,5.14,53.78548896,43.69085174,-1.215488959,2
36059-0221040,600,227,841,44.4,275,71.61,43.49,108,384,28.13,0,43.48,43.48,71.34363853,26.99167658,0.266361474,2
36059-0221036,796,306,1115,43.9,286,70.27,40.54,121,407,29.73,0,40.54,40.54,71.39013453,27.44394619,-1.120134529,2
36059-0221037,262,70,335,57.3,96,77.42,54.84,28,124,22.58,0,54.84,54.84,78.20895522,20.89552239,-0.788955224,2
36059-0221038,532,111,649,64.9,167,80.29,60.58,41,208,19.71,0,60.58,60.58,81.97226502,17.10323575,-1.682265023,2
36059-0221042,229,194,437,8,106,54.08,8.16,90,196,45.92,0,8.16,8.16,52.402746,44.39359268,1.677254005,2
36059-0221043,363,245,616,19.2,204,64.76,29.52,111,315,35.24,0,29.52,29.52,58.92857143,39.77272727,5.831428571,2
36059-0221044,648,173,826,57.5,208,74.29,48.93,71,280,25.36,0,48.93,48.93,78.4503632,20.94430993,-4.160363196,2
36059-0221045,327,285,624,6.7,149,52.84,5.67,133,282,47.16,0,5.68,5.68,52.40384615,45.67307692,0.436153846,2
36059-0221046,284,123,413,39,67,53.17,6.35,59,126,46.83,0,6.34,6.34,68.76513317,29.78208232,-15.59513317,2
36059-0221047,148,93,246,22.4,61,60.4,20.79,40,101,39.6,0,20.8,20.8,60.16260163,37.80487805,0.237398374,2
36059-0221048,24,1,25,92,1,100,100,0,1,0,0,100,100,96,4,4,2
36059-0221049,313,20,334,87.7,83,97.65,95.29,2,85,2.35,0,95.3,95.3,93.71257485,5.988023952,3.93742515,2
36059-0221050,146,8,154,89.6,6,100,100,0,6,0,0,100,100,94.80519481,5.194805195,5.194805195,2
36059-0221051,357,251,617,17.2,175,59.32,18.64,120,295,40.68,0,18.64,18.64,57.86061588,40.68071313,1.459384117,2
36059-0221052,353,352,720,0.1,164,45.56,0,196,360,54.44,8.89,-8.88,-8.88,49.02777778,48.88888889,-3.467777778,2
36059-0221054,340,416,769,-9.9,168,45.04,0,205,373,54.96,9.92,-9.92,-9.92,44.21326398,54.09622887,0.826736021,2
36059-0221055,298,270,578,4.8,145,52.92,5.84,129,274,47.08,0,5.84,5.84,51.55709343,46.71280277,1.362906574,2
36059-0221056,543,475,1044,6.5,266,54.73,9.47,220,486,45.27,0,9.46,9.46,52.01149425,45.49808429,2.718505747,2
36059-0221057,309,275,594,5.7,155,52.9,6.14,137,293,46.76,0,6.14,6.14,52.02020202,46.2962963,0.87979798,2
36059-0221058,486,493,1001,-0.7,254,49.8,0,256,510,50.2,0.39,-0.4,-0.4,48.55144855,49.25074925,1.248551449,2
36059-0221059,347,339,700,1.1,165,50.3,0.61,163,328,49.7,0,0.6,0.6,49.57142857,48.42857143,0.728571429,2
36059-0221060,412,331,753,10.8,170,51.99,3.98,157,327,48.01,0,3.98,3.98,54.71447543,43.95750332,-2.724475432,2
36059-0221061,532,334,876,22.6,232,61.87,23.73,143,375,38.13,0,23.74,23.74,60.73059361,38.12785388,1.139406393,2
36059-0221063,275,159,441,26.3,119,68,36,56,175,32,0,36,36,62.35827664,36.05442177,5.641723356,2
36059-0221065,469,359,852,12.9,223,54.39,8.78,187,410,45.61,0,8.78,8.78,55.04694836,42.13615023,-0.656948357,2
36059-0221064,493,409,916,9.2,164,46.86,0,186,350,53.14,6.29,-6.28,-6.28,53.8209607,44.65065502,-6.960960699,2
36059-0221066,319,359,693,-5.8,163,49.7,0,164,328,50,0.3,-0.3,-0.3,46.03174603,51.8037518,3.668253968,2
36059-0221067,207,223,435,-3.7,71,39.23,0,110,181,60.77,21.55,-21.54,-21.54,47.5862069,51.26436782,-8.356206897,2
36059-0221068,184,244,428,-14,57,33.33,0,114,171,66.67,33.33,-33.34,-33.34,42.99065421,57.00934579,-9.660654206,2
36059-0221069,354,520,885,-18.8,141,34.06,0,273,414,65.94,31.88,-31.88,-31.88,40,58.75706215,-5.94,2
36059-0221071,304,359,671,-8.2,113,41.85,0,157,270,58.15,16.3,-16.3,-16.3,45.30551416,53.50223547,-3.455514158,2
36059-0221072,287,350,644,-9.8,137,47.74,0,150,287,52.26,4.53,-4.52,-4.52,44.56521739,54.34782609,3.174782609,2
36059-0221073,319,389,720,-9.7,108,42.02,0,149,257,57.98,15.95,-15.96,-15.96,44.30555556,54.02777778,-2.285555556,2
36059-0221074,255,406,674,-22.4,118,37.82,0,194,312,62.18,24.36,-24.36,-24.36,37.83382789,60.23738872,-0.013827893,2
36059-0221075,304,393,706,-12.6,155,46.55,0,178,333,53.45,6.91,-6.9,-6.9,43.05949008,55.66572238,3.490509915,2
36059-0221076,394,442,841,-5.7,168,43.64,0,216,385,56.1,12.47,-12.46,-12.46,46.8489893,52.55648038,-3.208989298,2
36059-0221077,475,346,834,15.5,181,60.74,21.81,116,298,38.93,0,21.81,21.81,56.95443645,41.48681055,3.785563549,2
36059-0221079,313,308,632,0.8,152,51.53,3.05,143,295,48.47,0,3.06,3.06,49.52531646,48.73417722,2.004683544,2
36059-0221080,358,345,721,1.8,146,45.06,0,178,324,54.94,9.88,-9.88,-9.88,49.65325936,47.85020804,-4.593259362,2
36059-0221081,6,2,9,44.4,0,0,0,0,0,0,0,0,0,66.66666667,22.22222222,-66.66666667,2
36059-0221082,271,188,464,17.9,117,57.07,14.15,88,205,42.93,0,14.14,14.14,58.40517241,40.51724138,-1.335172414,2
36059-0221083,307,222,531,16,114,59.69,19.37,77,191,40.31,0,19.38,19.38,57.81544256,41.8079096,1.874557439,2
36059-0221084,160,169,330,-2.7,57,45.97,0,67,124,54.03,8.06,-8.06,-8.06,48.48484848,51.21212121,-2.514848485,2
36059-0221085,262,276,548,-2.6,97,41.81,0,135,232,58.19,16.38,-16.38,-16.38,47.81021898,50.3649635,-6.000218978,2
36059-0221086,368,319,700,7,162,55.29,10.92,130,293,44.37,0,10.92,10.92,52.57142857,45.57142857,2.718571429,2
36059-0221088,471,406,888,7.3,162,51.76,3.51,151,313,48.24,0,3.52,3.52,53.04054054,45.72072072,-1.280540541,2
36059-0221089,416,464,901,-5.3,167,41.13,0,239,406,58.87,17.73,-17.74,-17.74,46.1709212,51.49833518,-5.040921199,2
36059-0221090,397,385,793,1.5,172,46.74,0,196,368,53.26,6.52,-6.52,-6.52,50.0630517,48.54981084,-3.323051702,2
36059-0221096,317,275,600,7,127,53.14,6.28,112,239,46.86,0,6.28,6.28,52.83333333,45.83333333,0.306666667,2
36059-0221091,460,435,916,2.7,214,56.91,13.83,162,376,43.09,0,13.82,13.82,50.21834061,47.48908297,6.691659389,2
36059-0221092,263,177,445,19.3,96,51.61,3.23,90,186,48.39,0,3.22,3.22,59.1011236,39.7752809,-7.491123596,2
36059-0221093,397,312,720,11.8,140,51.66,3.32,131,271,48.34,0,3.32,3.32,55.13888889,43.33333333,-3.478888889,2
36059-0221094,9,3,12,50,1,100,100,0,1,0,0,100,100,75,25,25,2
36059-0221095,41,23,64,28.1,8,66.67,33.33,4,12,33.33,0,33.34,33.34,64.0625,35.9375,2.6075,2
36059-0221097,6,1,7,71.4,0,0,0,0,0,0,0,0,0,85.71428571,14.28571429,-85.71428571,2
36059-0221099,0,1,1,-100,0,0,0,0,0,0,0,0,0,0,100,0,2
36059-0221104,49,34,83,18.1,7,100,100,0,7,0,0,100,100,59.03614458,40.96385542,40.96385542,2
36059-0221113,98,101,201,-1.5,6,30,0,14,20,70,40,-40,-40,48.75621891,50.24875622,-18.75621891,2
36059-0221115,329,213,550,21.1,86,46.49,0,99,185,53.51,7.03,-7.02,-7.02,59.81818182,38.72727273,-13.32818182,2
36059-0221117,312,589,920,-30.1,132,31.88,0,282,414,68.12,36.23,-36.24,-36.24,33.91304348,64.02173913,-2.033043478,2
36059-0221118,188,326,519,-26.6,82,34.17,0,158,240,65.83,31.67,-31.66,-31.66,36.22350674,62.81310212,-2.053506744,2
36059-0221119,191,328,524,-26.1,86,33.99,0,167,253,66.01,32.02,-32.02,-32.02,36.45038168,62.59541985,-2.460381679,2
36059-0221120,226,426,654,-30.6,81,27.74,0,211,292,72.26,44.52,-44.52,-44.52,34.55657492,65.13761468,-6.816574924,2
36059-0221121,60,153,216,-43.1,23,22.77,0,78,101,77.23,54.46,-54.46,-54.46,27.77777778,70.83333333,-5.007777778,2
36059-0221122,368,528,909,-17.6,163,40.35,0,241,404,59.65,19.31,-19.3,-19.3,40.4840484,58.08580858,-0.134048405,2
36059-0221123,147,211,367,-17.4,77,37.02,0,131,208,62.98,25.96,-25.96,-25.96,40.05449591,57.49318801,-3.034495913,2
36059-0221124,291,409,708,-16.7,105,35.12,0,194,299,64.88,29.77,-29.76,-29.76,41.10169492,57.76836158,-5.981694915,2
36059-0221126,52,32,84,23.8,0,0,0,0,0,0,0,0,0,61.9047619,38.0952381,-61.9047619,2
36059-0221127,156,254,420,-23.3,77,39.69,0,117,194,60.31,20.62,-20.62,-20.62,37.14285714,60.47619048,2.547142857,2
36059-0221128,113,197,316,-26.6,65,43.92,0,83,148,56.08,12.16,-12.16,-12.16,35.75949367,62.34177215,8.160506329,2
36059-0221129,8,0,8,100,6,85.71,71.43,1,7,14.29,0,71.42,71.42,100,0,-14.29,2
36059-0221130,22,11,33,33.3,3,75,50,1,4,25,0,50,50,66.66666667,33.33333333,8.333333333,2
36059-0221132,9,10,19,-5.3,4,44.44,0,5,9,55.56,11.11,-11.12,-11.12,47.36842105,52.63157895,-2.928421053,2
36059-0222001,381,116,504,52.6,79,68.7,37.39,36,115,31.3,0,37.4,37.4,75.5952381,23.01587302,-6.895238095,2
36059-0222002,366,218,589,25.1,81,45.76,0,96,177,54.24,8.47,-8.48,-8.48,62.13921902,37.01188455,-16.37921902,2
36059-0222003,414,346,778,8.7,181,48.14,0,195,376,51.86,3.72,-3.72,-3.72,53.21336761,44.47300771,-5.073367609,2
36059-0222004,355,291,655,9.8,131,51.98,3.97,121,252,48.02,0,3.96,3.96,54.19847328,44.42748092,-2.218473282,2
36059-0222005,244,199,451,10,78,50.32,0.65,77,155,49.68,0,0.64,0.64,54.10199557,44.12416851,-3.781995565,2
36059-0222008,292,363,669,-10.6,126,40.13,0,188,314,59.87,19.75,-19.74,-19.74,43.64723468,54.26008969,-3.517234679,2
36059-0222007,292,326,630,-5.4,151,45.48,0,181,332,54.52,9.04,-9.04,-9.04,46.34920635,51.74603175,-0.869206349,2
36059-0222006,264,284,554,-3.6,100,43.1,0,132,232,56.9,13.79,-13.8,-13.8,47.6534296,51.26353791,-4.553429603,2
36059-0222010,292,367,667,-11.2,147,48.68,0,155,302,51.32,2.65,-2.64,-2.64,43.77811094,55.02248876,4.901889055,2
36059-0222011,332,351,699,-2.7,120,43.17,0,158,278,56.83,13.67,-13.66,-13.66,47.49642346,50.21459227,-4.326423462,2
36059-0222012,284,372,670,-13.1,112,41.18,0,160,272,58.82,17.65,-17.64,-17.64,42.3880597,55.52238806,-1.208059701,2
36059-0222013,288,349,656,-9.3,119,42.05,0,164,283,57.95,15.9,-15.9,-15.9,43.90243902,53.20121951,-1.852439024,2
36059-0222015,396,410,820,-1.7,143,40.63,0,206,352,58.52,17.9,-17.89,-17.89,48.29268293,50,-7.662682927,2
36059-0222016,627,38,668,88.2,178,92.71,85.42,14,192,7.29,0,85.42,85.42,93.86227545,5.688622754,-1.152275449,2
36059-0222017,378,288,671,13.4,85,44.27,0,107,192,55.73,11.46,-11.46,-11.46,56.3338301,42.92101341,-12.0638301,2
36059-0222018,285,227,520,11.2,79,46.75,0,90,169,53.25,6.51,-6.5,-6.5,54.80769231,43.65384615,-8.057692308,2
36059-0222020,500,44,546,83.5,123,93.89,87.79,8,131,6.11,0,87.78,87.78,91.57509158,8.058608059,2.314908425,2
36059-0222027,804,114,931,74.1,213,83.53,67.45,41,255,16.08,0,67.45,67.45,86.35875403,12.24489796,-2.828754028,2
36059-0222021,1079,132,1215,77.9,266,90.48,81.63,26,294,8.84,0,81.64,81.64,88.80658436,10.86419753,1.673415638,2
36059-0222022,960,180,1147,68,227,80.21,61.48,53,283,18.73,0,61.48,61.48,83.69659983,15.69311247,-3.486599826,2
36059-0222023,670,212,897,51.1,162,71.68,43.36,64,226,28.32,0,43.36,43.36,74.69342252,23.63433668,-3.01342252,2
36059-0222024,833,233,1077,55.7,184,73.6,47.6,65,250,26,0,47.6,47.6,77.34447539,21.63416899,-3.744475395,2
36059-0222025,620,219,850,47.2,119,62.63,25.26,71,190,37.37,0,25.26,25.26,72.94117647,25.76470588,-10.31117647,2
36059-0222026,384,334,727,6.9,71,38.17,0,115,186,61.83,23.66,-23.66,-23.66,52.81980743,45.94222834,-14.64980743,2
36059-0222029,778,235,1022,53.1,143,63.56,27.11,82,225,36.44,0,27.12,27.12,76.12524462,22.99412916,-12.56524462,2
36059-0222030,197,108,307,29,35,43.21,0,46,81,56.79,13.58,-13.58,-13.58,64.16938111,35.17915309,-20.95938111,2
36059-0222031,859,61,924,86.4,281,91.83,83.99,24,306,7.84,0,83.99,83.99,92.96536797,6.601731602,-1.135367965,2
36059-0222033,703,78,785,79.6,206,90.75,81.5,21,227,9.25,0,81.5,81.5,89.55414013,9.936305732,1.195859873,2
36059-0222034,891,91,992,80.6,260,86.09,72.19,42,302,13.91,0,72.18,72.18,89.81854839,9.173387097,-3.728548387,2
36059-0222037,864,143,1017,70.9,232,80.84,61.67,55,287,19.16,0,61.68,61.68,84.95575221,14.06096362,-4.115752212,2
36059-0222042,655,221,884,49.1,262,70.81,41.62,108,370,29.19,0,41.62,41.62,74.09502262,25,-3.285022624,2
36059-0222038,647,115,767,69.4,219,85.88,71.76,36,255,14.12,0,71.76,71.76,84.35462842,14.9934811,1.525371578,2
36059-0222039,602,164,766,57.2,135,61.64,23.29,84,219,38.36,0,23.28,23.28,78.59007833,21.40992167,-16.95007833,2
36059-0222041,161,56,218,48.2,54,60.67,21.35,35,89,39.33,0,21.34,21.34,73.85321101,25.68807339,-13.18321101,2
36059-0222043,363,169,543,35.7,118,60.82,21.65,76,194,39.18,0,21.64,21.64,66.85082873,31.12338858,-6.030828729,2
36059-0222049,138,202,350,-18.3,67,35.64,0,121,188,64.36,28.72,-28.72,-28.72,39.42857143,57.71428571,-3.788571429,2
36059-0222050,72,105,179,-18.4,16,64,28,9,25,36,0,28,28,40.22346369,58.65921788,23.77653631,2
36059-0222051,14,25,39,-28.2,7,53.85,7.69,6,13,46.15,0,7.7,7.7,35.8974359,64.1025641,17.9525641,2
36059-0222052,87,125,213,-17.8,7,100,100,0,7,0,0,100,100,40.84507042,58.68544601,59.15492958,2
36059-0222053,291,292,592,-0.2,87,38.5,0,139,226,61.5,23.01,-23,-23,49.15540541,49.32432432,-10.65540541,2
36059-0222054,313,338,658,-3.8,96,35.56,0,174,270,64.44,28.89,-28.88,-28.88,47.56838906,51.36778116,-12.00838906,2
36059-0220053,72,685,762,-80.4,56,17.67,0,261,317,82.33,64.67,-64.66,-64.66,9.448818898,89.89501312,8.221181102,2
36059-0220056,304,408,717,-14.5,65,25.39,0,191,256,74.61,49.22,-49.22,-49.22,42.39888424,56.90376569,-17.00888424,2
36059-0220060,275,204,480,14.8,67,41.88,0,93,160,58.13,16.25,-16.25,-16.25,57.29166667,42.5,-15.41166667,2
36059-0220063,340,380,730,-5.5,150,44.25,0,189,339,55.75,11.5,-11.5,-11.5,46.57534247,52.05479452,-2.325342466,2
36059-0220080,159,215,378,-14.8,73,44.51,0,91,164,55.49,10.98,-10.98,-10.98,42.06349206,56.87830688,2.446507937,2
36059-0221006,463,254,729,28.7,172,61.43,22.86,108,280,38.57,0,22.86,22.86,63.51165981,34.84224966,-2.081659808,2
36059-0221007,776,241,1024,52.2,289,77.69,55.38,83,372,22.31,0,55.38,55.38,75.78125,23.53515625,1.90875,2
36059-0221008,491,279,771,27.5,170,59.86,20.07,113,284,39.79,0,20.07,20.07,63.68352789,36.18677043,-3.823527886,2
36059-0221012,389,242,636,23.1,120,55.81,11.63,95,215,44.19,0,11.62,11.62,61.16352201,38.05031447,-5.353522013,2
36059-0221014,405,241,657,25,153,58.62,18.01,106,261,40.61,0,18.01,18.01,61.64383562,36.68188737,-3.023835616,2
36059-0221016,541,317,873,25.7,177,60.82,21.65,114,291,39.18,0,21.64,21.64,61.97021764,36.3115693,-1.15021764,2
36059-0221028,26,75,101,-48.5,1,14.29,0,6,7,85.71,71.43,-71.42,-71.42,25.74257426,74.25742574,-11.45257426,2
36059-0221027,439,259,704,25.6,157,57.93,15.87,114,271,42.07,0,15.86,15.86,62.35795455,36.78977273,-4.427954545,2
36059-0221039,628,175,816,55.5,260,75.58,51.16,84,344,24.42,0,51.16,51.16,76.96078431,21.44607843,-1.380784314,2
36059-0221041,415,346,773,8.9,205,52.03,4.06,189,394,47.97,0,4.06,4.06,53.68693402,44.7606727,-1.656934023,2
36059-0221053,409,312,736,13.2,225,56.82,13.64,171,396,43.18,0,13.64,13.64,55.57065217,42.39130435,1.249347826,2
36059-0221062,515,135,660,57.6,118,78.15,56.29,33,151,21.85,0,56.3,56.3,78.03030303,20.45454545,0.11969697,2
36059-0221070,409,361,793,6.1,181,48.53,0,192,373,51.47,2.95,-2.94,-2.94,51.57629256,45.52332913,-3.04629256,2
36059-0221078,432,497,942,-6.9,134,37.12,0,226,361,62.6,25.48,-25.48,-25.48,45.85987261,52.76008493,-8.739872611,2
36059-0221087,433,272,713,22.6,165,58.93,17.86,115,280,41.07,0,17.86,17.86,60.72931276,38.1486676,-1.799312763,2
36059-0221098,8,10,18,-11.1,0,0,0,5,5,100,100,-100,-100,44.44444444,55.55555556,-44.44444444,2
36059-0221103,235,221,460,3,81,48.8,0,85,166,51.2,2.41,-2.4,-2.4,51.08695652,48.04347826,-2.286956522,2
36059-0221105,505,429,948,8,201,51.28,2.81,190,392,48.47,0,2.81,2.81,53.27004219,45.25316456,-1.990042194,2
36059-0221100,372,453,846,-9.6,180,42.55,0,243,423,57.45,14.89,-14.9,-14.9,43.97163121,53.54609929,-1.421631206,2
36059-0221102,229,216,454,2.9,106,49.07,0,110,216,50.93,1.85,-1.86,-1.86,50.44052863,47.57709251,-1.370528634,2
36059-0221106,32,14,49,36.7,13,52,4,12,25,48,0,4,4,65.30612245,28.57142857,-13.30612245,2
36059-0221109,315,395,722,-11.1,136,43.17,0,179,315,56.83,13.65,-13.66,-13.66,43.62880886,54.70914127,-0.458808864,2
36059-0221110,3,0,3,100,0,0,0,0,0,0,0,0,0,100,0,-100,2
36059-0221125,39,51,91,-13.2,4,40,0,6,10,60,20,-20,-20,42.85714286,56.04395604,-2.857142857,2
36059-0221111,414,482,913,-7.4,211,47.95,0,229,440,52.05,4.09,-4.1,-4.1,45.34501643,52.79299014,2.604983571,2
36059-0222045,452,320,785,16.8,129,41.08,0,185,314,58.92,17.83,-17.84,-17.84,57.57961783,40.76433121,-16.49961783,2
36059-0221131,0,2,2,-100,0,0,0,0,0,0,0,0,0,0,100,0,2
36059-0222009,290,241,539,9.1,106,45.69,0,125,232,53.88,8.19,-8.19,-8.19,53.80333952,44.71243043,-8.113339518,2
36059-0222019,446,500,954,-5.7,144,42.73,0,193,337,57.27,14.54,-14.54,-14.54,46.75052411,52.41090147,-4.020524109,2
36059-0222028,690,64,762,82.2,182,91,82,18,200,9,0,82,82,90.5511811,8.398950131,0.448818898,2
36059-0222032,1061,94,1161,83.3,332,89.97,79.95,37,369,10.03,0,79.94,79.94,91.38673557,8.096468562,-1.416735573,2
36059-0222035,834,190,1031,62.5,246,76.4,53.11,75,322,23.29,0,53.11,53.11,80.89233754,18.42870999,-4.492337536,2
36059-0222046,745,104,852,75.2,217,83.14,67.05,42,261,16.09,0,67.05,67.05,87.44131455,12.20657277,-4.301314554,2
36059-0222036,400,120,528,53,91,67.91,35.82,43,134,32.09,0,35.82,35.82,75.75757576,22.72727273,-7.847575758,2
36059-0222044,424,286,720,19.2,93,40.43,0,137,230,59.57,19.13,-19.14,-19.14,58.88888889,39.72222222,-18.45888889,2
36059-0222047,789,115,907,74.3,249,79.3,58.6,65,314,20.7,0,58.6,58.6,86.99007718,12.67916207,-7.690077178,2
36059-0222055,321,565,903,-27,107,30.14,0,247,355,69.58,39.44,-39.44,-39.44,35.54817276,62.56921373,-5.408172757,2
36059-0222056,197,309,510,-22,74,31.76,0,159,233,68.24,36.48,-36.48,-36.48,38.62745098,60.58823529,-6.86745098,2
36059-0222058,265,543,813,-34.2,69,21.9,0,246,315,78.1,56.19,-56.2,-56.2,32.59532595,66.7896679,-10.69532595,2
36059-0222059,223,267,496,-8.9,78,40.21,0,116,194,59.79,19.59,-19.58,-19.58,44.95967742,53.83064516,-4.749677419,2
36059-0222060,209,286,500,-15.4,65,30.81,0,146,211,69.19,38.39,-38.38,-38.38,41.8,57.2,-10.99,2
36059-0222062,683,192,879,55.9,164,69.49,38.98,72,236,30.51,0,38.98,38.98,77.70193402,21.84300341,-8.211934016,2
36059-0222063,541,196,745,46.3,124,59.9,19.81,83,207,40.1,0,19.8,19.8,72.61744966,26.30872483,-12.71744966,2
36059-0222064,838,155,1002,68.2,194,82.2,64.41,42,236,17.8,0,64.4,64.4,83.63273453,15.46906188,-1.432734531,2
36059-0222065,713,197,913,56.5,169,63.53,27.07,97,266,36.47,0,27.06,27.06,78.09419496,21.57721796,-14.56419496,2
36059-0222067,386,180,577,35.7,109,59.89,19.78,73,182,40.11,0,19.78,19.78,66.89774697,31.19584055,-7.007746967,2
36059-0222068,507,258,780,31.9,142,56.13,13.04,109,253,43.08,0,13.05,13.05,65,33.07692308,-8.87,2
36059-0222069,709,264,986,45.1,158,57.66,15.33,116,274,42.34,0,15.32,15.32,71.90669371,26.77484787,-14.24669371,2
36059-0222070,236,83,325,47.1,62,68.89,37.78,28,90,31.11,0,37.78,37.78,72.61538462,25.53846154,-3.725384615,2
36059-0222072,372,213,593,26.8,83,45.86,0,98,181,54.14,8.29,-8.28,-8.28,62.73187184,35.91905565,-16.87187184,2
