"AD_Inactive","ED_Inactive","Status","AD_Active","ED_Active"
78,52,"COMBINED INTO 046/78",46,78
78,53,"COMBINED INTO 011/78",11,78
78,54,"COMBINED INTO 024/78",24,78
78,55,"COMBINED INTO 025/78",25,78
80,39,"COMBINED INTO 036/80",36,80
80,65,"COMBINED INTO 066/80",66,80
81,61,"COMBINED INTO 013/81",13,81
82,45,"COMBINED INTO 053/82",53,82
82,52,"COMBINED INTO 053/82",53,82
82,67,"COMBINED INTO 025/82",25,82
82,68,"COMBINED INTO 042/82",42,82
82,69,"COMBINED INTO 042/82",42,82
82,70,"COMBINED INTO 042/82",42,82
82,71,"COMBINED INTO 042/82",42,82
82,73,"COMBINED INTO 042/82",42,82
82,74,"COMBINED INTO 042/82",42,82
82,75,"COMBINED INTO 042/82",42,82
83,57,"COMBINED INTO 055/83",55,83
84,63,"COMBINED INTO 016/84",16,84
85,57,"COMBINED INTO 056/85",56,85
85,59,"COMBINED INTO 056/85",56,85
85,60,"COMBINED INTO 054/85",54,85
85,63,"COMBINED INTO 055/85",55,85
85,64,"COMBINED INTO 055/85",55,85
85,65,"COMBINED INTO 054/85",54,85
85,66,"COMBINED INTO 054/85",54,85
85,67,"COMBINED INTO 054/85",54,85
85,68,"COMBINED INTO 054/85",54,85
85,69,"COMBINED INTO 054/85",54,85
85,70,"COMBINED INTO 054/85",54,85
85,71,"COMBINED INTO 054/85",54,85
85,72,"COMBINED INTO 054/85",54,85
85,73,"COMBINED INTO 054/85",54,85
85,74,"COMBINED INTO 054/85",54,85
85,75,"COMBINED INTO 054/85",54,85
85,76,"COMBINED INTO 055/85",55,85
85,77,"COMBINED INTO 054/85",54,85
85,78,"COMBINED INTO 056/85",56,85
85,79,"COMBINED INTO 056/85",56,85
85,80,"COMBINED INTO 056/85",56,85
85,81,"COMBINED INTO 056/85",56,85
85,82,"COMBINED INTO 056/85",56,85
85,83,"COMBINED INTO 056/85",56,85
86,54,"COMBINED INTO 025/86",25,86
86,55,"COMBINED INTO 045/86",45,86
87,33,"COMBINED INTO 036/87",36,87
87,58,"COMBINED INTO 035/87",35,87
