"AD","ED","Harris","Trump"
32,46,504,74
32,47,568,48
32,48,753,74
32,49,465,43
32,50,736,93
32,51,764,81
32,52,4,0
32,53,940,43
32,54,836,50
32,55,580,37
32,56,524,53
32,57,585,38
32,58,560,29
32,59,541,31
32,60,577,34
32,61,558,29
32,62,590,52
32,63,441,58
32,64,480,56
32,65,569,81
32,66,169,30
32,67,514,123
32,68,441,115
32,69,0,0
33,1,476,528
33,2,545,548
33,3,474,485
33,4,440,429
33,5,442,376
33,6,506,558
33,7,411,327
33,8,503,499
33,9,449,433
33,10,588,390
33,11,310,187
33,12,541,220
33,13,76,23
33,14,466,333
33,15,471,229
33,16,480,309
33,17,621,329
33,18,512,221
33,19,411,195
33,20,480,257
33,21,616,265
33,22,267,110
33,23,703,258
33,24,110,47
33,25,253,88
33,26,91,35
33,27,626,141
33,28,277,61
33,29,738,143
33,30,872,118
33,31,705,78
33,32,930,86
33,33,553,40
33,34,820,72
33,35,954,54
33,36,897,59
33,37,874,60
33,38,736,60
33,39,656,62
33,40,576,41
33,41,496,43
33,42,803,79
33,43,448,27
33,44,930,77
33,45,755,58
33,46,930,92
33,47,730,64
33,48,729,60
33,49,367,38
33,50,847,91
33,51,870,132
33,52,886,122
33,53,665,91
33,54,633,89
33,55,601,108
33,56,848,98
33,57,591,83
33,58,646,131
33,59,435,46
33,60,632,95
33,61,681,124
33,62,384,36
33,63,432,81
33,64,3,2
33,65,671,117
34,1,692,376
34,2,106,127
34,3,415,238
34,4,570,191
34,5,399,172
34,6,38,40
34,7,616,248
34,8,703,307
34,9,514,313
34,10,391,371
34,11,237,195
34,12,912,342
34,13,896,396
34,14,717,417
34,15,190,233
34,16,175,196
34,17,550,370
34,18,555,279
34,19,730,334
34,20,746,363
34,21,537,145
34,22,250,125
34,23,255,123
34,24,607,307
34,25,638,343
34,26,1,0
34,27,317,335
34,28,221,223
34,29,254,248
34,30,299,309
34,31,417,386
34,32,279,251
34,33,196,159
34,34,396,251
34,35,235,245
34,36,458,381
34,37,211,170
34,38,203,144
34,39,514,296
34,40,595,391
34,41,597,301
34,42,373,246
34,43,390,277
34,44,450,371
34,45,234,202
34,46,601,351
34,47,490,328
34,48,360,171
34,49,294,144
34,50,82,63
34,51,475,330
34,52,544,381
34,53,19,12
34,54,276,324
34,55,115,115
34,56,317,371
34,57,0,0
34,58,0,0
34,59,0,0
34,60,74,68
34,61,28,34
35,1,340,405
35,2,242,232
35,3,248,207
35,4,334,188
35,5,383,210
35,6,427,235
35,7,605,333
35,8,609,257
35,9,380,447
