ED,Reported *,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable/EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity),WRITE-IN,AD
49,90.00%,109,21,0,6,4,1,1,504,0,4,73
50,90.00%,160,26,0,10,2,1,0,768,2,6,73
51,90.00%,181,25,0,21,2,0,0,733,1,4,73
52,90.00%,153,22,0,16,2,0,0,528,0,1,73
53,99.00%,173,19,1,7,3,1,1,608,3,5,73
54,99.00%,216,20,0,15,1,1,1,796,1,7,73
55,99.00%,145,7,1,11,0,0,2,574,0,5,73
56,99.00%,104,11,0,6,3,1,0,484,2,1,73
57,99.00%,98,14,1,5,2,0,0,597,1,3,73
58,99.00%,158,13,0,18,3,1,0,492,0,2,73
59,99.00%,337,35,3,53,2,1,1,708,3,5,73
60,99.00%,180,24,2,32,3,2,0,197,1,1,73
61,99.00%,232,18,0,35,1,0,0,183,1,0,73
62,99.00%,452,43,1,74,5,3,0,541,1,3,73
63,99.00%,156,14,0,16,2,1,0,674,0,3,73
64,99.00%,262,21,3,23,1,0,0,739,3,3,73
65,99.00%,185,13,0,25,4,0,0,430,0,2,73
66,90.00%,276,21,1,24,2,2,0,592,0,6,73
67,90.00%,242,29,0,21,0,2,1,513,1,6,73
68,99.00%,149,19,2,11,2,0,1,578,0,2,73
69,99.00%,463,30,1,66,3,2,0,388,0,1,73
70,83.33%,0,0,0,0,0,0,0,0,0,0,73
71,99.00%,0,0,0,0,0,0,0,0,0,0,73
72,99.00%,0,0,0,0,0,0,0,0,0,0,73
1,99.00%,334,33,0,30,4,0,1,405,1,2,74
2,99.00%,413,42,0,65,4,0,0,415,0,1,74
3,99.00%,310,39,2,39,5,3,2,387,1,9,74
4,99.00%,309,25,0,42,2,0,0,410,1,2,74
5,99.00%,252,21,0,26,2,1,1,337,0,0,74
6,99.00%,308,36,0,53,2,1,0,365,0,4,74
7,99.00%,317,31,1,31,0,1,1,292,0,1,74
8,99.00%,406,27,0,38,2,2,0,509,1,4,74
9,90.00%,165,20,1,31,1,0,0,174,0,1,74
10,90.00%,433,30,0,37,2,4,1,478,0,4,74
11,99.00%,431,45,1,50,0,2,2,430,4,4,74
12,99.00%,470,33,1,56,7,3,0,457,5,4,74
13,99.00%,362,25,2,47,6,0,0,340,3,5,74
14,99.00%,380,32,0,44,4,0,0,345,4,4,74
15,99.00%,376,41,2,86,6,3,0,498,2,2,74
16,99.00%,516,35,0,82,5,4,2,480,2,3,74
17,99.00%,569,48,2,117,3,1,0,304,1,5,74
18,99.00%,560,48,1,142,6,1,0,360,0,6,74
19,99.00%,420,39,0,72,5,0,0,270,1,5,74
20,99.00%,450,36,0,81,0,0,1,269,0,6,74
21,99.00%,353,35,0,37,5,1,0,199,1,5,74
22,99.00%,489,38,2,85,3,3,1,366,2,10,74
23,99.00%,480,49,0,93,6,1,1,354,3,9,74
24,99.00%,479,40,0,88,4,1,0,307,1,8,74
25,99.00%,255,38,1,48,2,1,0,132,2,0,74
26,99.00%,529,25,0,133,3,1,0,216,2,1,74
27,99.00%,646,24,0,129,7,1,1,209,2,2,74
28,99.00%,376,13,0,72,4,0,0,106,0,3,74
29,99.00%,190,26,0,18,1,2,0,144,1,1,74
30,99.00%,263,35,5,45,9,4,1,201,0,2,74
31,99.00%,571,27,0,104,3,3,0,178,0,4,74
32,99.00%,141,27,0,10,5,1,0,123,0,0,74
33,99.00%,417,20,0,77,0,0,1,92,0,2,74
34,99.00%,330,15,0,74,1,2,0,187,0,2,74
35,99.00%,529,20,1,116,2,1,0,121,1,2,74
36,99.00%,473,21,2,112,1,0,0,148,1,3,74
37,99.00%,117,14,1,16,2,0,0,139,2,1,74
38,99.00%,114,14,0,12,2,1,1,145,0,1,74
39,99.00%,130,20,0,17,2,2,0,133,0,0,74
40,99.00%,108,15,3,11,0,0,0,93,0,0,74
41,99.00%,202,19,0,62,2,2,1,174,2,7,74
42,99.00%,248,76,0,66,9,1,2,334,0,5,74
43,99.00%,569,17,0,136,2,0,0,155,0,6,74
44,99.00%,170,15,0,24,2,0,0,356,0,0,74
45,99.00%,224,9,1,37,3,1,0,539,1,1,74
46,99.00%,249,29,0,32,3,0,1,171,1,1,74
47,99.00%,177,31,0,34,3,0,2,259,0,2,74
48,99.00%,293,16,1,40,3,1,0,301,1,5,74
49,99.00%,336,28,1,59,3,3,0,370,1,6,74
50,99.00%,376,23,1,53,4,0,0,351,2,6,74
51,99.00%,491,24,1,48,2,2,0,449,2,3,74
52,99.00%,300,19,1,46,2,1,0,286,0,5,74
53,99.00%,535,23,0,93,5,2,0,218,1,5,74
54,99.00%,204,18,0,44,4,0,0,196,1,1,74
55,99.00%,365,27,0,49,3,1,0,585,1,8,74
56,99.00%,212,16,0,29,1,1,1,408,1,3,74
57,99.00%,324,20,0,54,1,0,0,502,0,8,74
58,99.00%,272,19,1,52,1,1,0,289,0,7,74
59,99.00%,336,21,0,44,6,0,1,504,0,8,74
60,99.00%,154,6,0,29,0,0,0,189,2,2,74
61,99.00%,127,1,0,17,0,0,1,216,0,7,74
62,83.33%,153,10,0,15,1,0,0,161,0,0,74
63,99.00%,60,4,0,17,1,0,0,128,1,1,74
64,83.33%,33,1,0,5,0,0,0,18,0,0,74
65,99.00%,99,2,0,19,2,0,1,153,0,2,74
66,83.33%,0,0,0,0,0,0,0,0,0,0,74
67,99.00%,0,0,0,0,0,0,0,0,0,0,74
68,99.00%,0,0,0,0,0,0,0,0,0,0,74
69,99.00%,0,0,0,0,0,0,0,0,0,0,74
70,99.00%,0,0,0,0,0,0,0,0,0,0,74
1,99.00%,409,21,2,57,5,0,1,425,0,6,75
2,99.00%,347,28,0,35,2,2,0,646,0,10,75
3,99.00%,331,29,0,50,2,0,0,552,2,4,75
4,99.00%,128,18,0,14,0,0,0,315,0,3,75
5,99.00%,242,19,0,19,1,2,1,577,1,2,75
6,99.00%,370,35,0,40,2,1,0,465,4,7,75
7,99.00%,297,22,0,47,1,3,0,272,1,2,75
8,99.00%,491,36,2,72,2,2,1,471,4,7,75
9,88.89%,100,9,0,20,0,0,0,49,1,2,75
10,99.00%,412,36,0,40,3,2,0,503,0,5,75
11,99.00%,175,24,0,21,2,3,1,350,1,3,75
12,99.00%,285,18,1,29,2,0,0,345,0,4,75
13,99.00%,334,37,1,32,1,2,0,412,0,2,75
14,99.00%,141,10,0,22,0,1,1,142,1,1,75
15,83.33%,261,20,1,27,3,1,1,174,1,2,75
16,83.33%,98,5,1,10,2,1,0,101,3,3,75
17,99.00%,256,20,0,36,1,0,0,200,2,3,75
18,99.00%,128,12,0,10,1,0,0,205,0,1,75
19,99.00%,0,0,0,0,0,0,0,0,0,0,75
20,99.00%,139,24,0,21,4,0,0,264,0,3,75
21,99.00%,121,7,0,14,0,0,0,183,0,2,75
22,99.00%,230,28,0,25,6,2,0,422,2,0,75
23,99.00%,274,27,1,32,4,3,0,245,1,4,75
24,99.00%,304,19,1,44,1,1,0,435,0,4,75
25,99.00%,187,9,0,21,1,0,0,162,1,3,75
26,99.00%,305,11,0,56,2,0,1,550,0,2,75
27,99.00%,256,12,0,22,2,0,0,402,0,1,75
28,99.00%,363,15,0,59,1,3,2,445,3,7,75
29,99.00%,353,30,0,70,0,1,1,202,1,4,75
30,99.00%,256,39,0,26,1,2,0,191,0,3,75
31,99.00%,477,26,0,89,2,3,0,189,0,1,75
32,99.00%,409,21,2,62,5,1,0,162,1,0,75
33,88.89%,345,26,2,51,4,1,0,190,3,3,75
34,88.89%,340,25,1,49,2,2,1,173,0,2,75
35,99.00%,266,19,0,42,0,3,0,120,1,4,75
36,99.00%,89,16,0,13,0,0,0,56,0,1,75
37,99.00%,333,29,1,66,5,0,0,233,0,3,75
38,99.00%,321,39,0,85,6,4,0,259,4,3,75
39,99.00%,298,38,1,91,5,1,2,250,1,4,75
40,99.00%,349,20,0,38,3,2,1,211,2,6,75
41,99.00%,335,26,0,49,1,0,0,414,1,11,75
42,99.00%,393,17,0,47,4,3,1,290,0,6,75
43,99.00%,442,62,2,121,11,4,0,407,2,5,75
44,99.00%,443,26,0,60,2,0,0,347,3,7,75
45,99.00%,384,13,1,54,0,1,0,246,4,7,75
46,99.00%,398,19,1,60,5,0,0,287,1,2,75
47,99.00%,335,26,0,32,1,3,0,277,0,1,75
48,99.00%,250,11,0,29,0,0,0,184,0,1,75
49,88.89%,495,29,0,103,3,1,1,143,1,1,75
50,99.00%,353,23,2,57,3,1,1,137,1,3,75
51,99.00%,572,32,0,122,4,0,1,246,0,4,75
52,88.89%,469,31,0,53,0,4,0,278,3,3,75
53,88.89%,471,40,0,61,2,1,0,235,1,1,75
54,99.00%,204,25,0,35,1,2,0,175,2,3,75
55,99.00%,258,20,0,25,2,1,0,147,1,3,75
56,99.00%,296,37,0,56,2,1,0,161,1,2,75
57,99.00%,445,31,1,52,4,3,1,371,1,9,75
58,99.00%,339,30,1,47,1,2,0,233,1,2,75
59,99.00%,485,30,1,62,3,3,0,415,0,2,75
60,99.00%,303,19,0,26,2,2,0,351,1,2,75
61,99.00%,114,32,1,17,1,0,0,103,0,1,75
62,99.00%,367,25,0,38,3,2,0,243,1,2,75
63,99.00%,526,25,2,67,1,1,0,394,2,13,75
64,99.00%,413,20,1,43,0,1,0,284,0,2,75
65,99.00%,221,17,2,24,2,1,1,312,1,4,75
66,99.00%,205,33,0,24,3,1,0,245,0,0,75
67,83.33%,4,0,0,1,0,1,0,8,0,0,75
68,99.00%,0,0,0,0,0,0,0,0,0,0,75
69,99.00%,0,0,0,0,0,0,0,0,0,0,75
70,99.00%,0,0,0,0,0,0,0,0,0,0,75
71,99.00%,0,0,0,0,0,0,0,0,0,0,75
1,99.00%,205,25,1,22,0,2,1,665,0,4,76
2,99.00%,62,13,0,3,0,1,0,545,0,1,76
3,87.50%,172,21,0,10,2,0,0,566,0,4,76
4,87.50%,206,18,0,29,2,1,0,665,2,4,76
5,88.89%,266,29,0,35,3,0,0,602,1,4,76
6,88.89%,321,29,2,46,5,0,0,542,2,1,76
7,88.89%,280,30,2,36,3,1,1,547,0,3,76
8,99.00%,290,14,2,33,3,3,0,259,0,1,76
9,99.00%,350,17,1,45,3,0,0,633,0,8,76
10,99.00%,305,17,1,56,6,1,1,252,0,0,76
11,99.00%,244,26,0,35,2,3,0,402,2,2,76
12,99.00%,348,40,2,42,7,1,0,415,0,2,76
13,99.00%,307,19,1,38,1,1,3,446,1,5,76
14,99.00%,260,18,0,31,1,0,0,566,1,1,76
15,99.00%,437,24,0,53,1,1,1,382,4,3,76
16,99.00%,224,23,2,19,3,1,2,279,2,3,76
17,99.00%,264,27,0,34,3,1,0,446,1,8,76
18,99.00%,136,15,2,20,1,0,0,569,1,3,76
19,99.00%,312,22,0,35,3,2,0,768,1,4,76
20,99.00%,373,23,0,26,1,0,0,562,0,5,76
21,99.00%,300,29,0,42,1,3,0,549,3,6,76
22,87.50%,283,21,0,42,3,1,0,515,2,7,76
23,99.00%,219,25,1,31,2,0,2,438,2,3,76
24,99.00%,380,33,1,46,6,0,3,578,1,4,76
25,99.00%,335,27,0,59,2,0,1,337,1,4,76
26,88.89%,227,21,0,19,7,3,0,616,2,5,76
27,88.89%,238,27,2,40,0,1,0,518,3,7,76
28,99.00%,453,40,0,60,2,0,1,378,0,3,76
29,88.89%,210,10,1,19,1,0,0,481,0,1,76
30,99.00%,290,20,0,32,0,2,0,667,0,7,76
31,88.89%,248,25,1,26,3,0,0,636,3,6,76
32,88.89%,239,26,2,37,4,3,1,759,1,2,76
33,93.33%,513,42,0,83,3,0,0,527,0,3,76
34,93.33%,375,33,1,54,3,1,0,595,0,13,76
35,93.33%,357,32,0,62,4,1,1,516,2,3,76
36,93.33%,412,47,0,70,3,1,0,581,2,7,76
37,99.00%,432,35,0,63,3,1,0,506,0,7,76
38,99.00%,356,33,0,60,3,2,0,164,0,2,76
39,99.00%,251,19,2,29,2,0,0,649,2,6,76
40,93.33%,226,27,0,19,2,1,0,488,0,3,76
41,93.33%,262,59,0,30,3,3,0,451,0,5,76
42,93.33%,284,17,2,43,3,1,2,646,2,5,76
43,93.33%,285,18,1,41,2,0,0,409,6,4,76
44,99.00%,302,25,0,40,6,2,0,669,1,2,76
45,99.00%,391,33,0,46,3,1,3,497,2,9,76
46,99.00%,311,29,1,44,3,1,0,575,1,7,76
47,93.33%,336,26,1,51,2,1,0,275,1,3,76
48,99.00%,268,18,0,43,1,2,0,584,0,3,76
49,99.00%,312,30,0,52,3,1,1,520,1,3,76
50,93.33%,382,28,1,58,0,0,0,561,0,5,76
51,99.00%,261,37,2,34,3,1,0,509,4,3,76
52,99.00%,372,26,1,60,3,0,0,447,1,6,76
53,99.00%,408,23,0,51,4,0,0,449,2,3,76
54,99.00%,379,26,0,63,6,0,0,699,1,2,76
55,99.00%,528,32,1,92,2,2,0,365,0,2,76
56,99.00%,576,26,0,102,5,1,0,305,0,2,76
57,99.00%,272,23,0,49,2,0,1,370,0,6,76
58,99.00%,396,27,0,76,0,1,0,496,2,5,76
59,66.67%,296,31,1,50,5,1,2,201,0,5,76
60,66.67%,289,21,0,54,0,0,0,178,1,3,76
61,66.67%,252,25,0,28,0,1,1,134,2,2,76
62,66.67%,377,25,0,47,2,2,0,252,0,4,76
63,99.00%,0,0,0,0,0,0,0,0,0,0,76
64,99.00%,0,0,0,0,0,0,0,0,0,0,76
65,99.00%,0,0,0,0,0,0,0,0,0,0,76
66,99.00%,0,0,0,0,0,0,0,0,0,0,76
67,99.00%,0,0,0,0,0,0,0,0,0,0,76
68,66.67%,0,0,0,0,0,0,0,0,0,0,76
1,99.00%,139,15,2,29,1,3,0,121,0,1,77
2,99.00%,222,13,2,24,1,2,1,163,0,0,77
3,99.00%,183,8,2,11,3,3,1,138,1,0,77
4,99.00%,96,5,0,15,1,1,0,37,0,1,77
5,83.33%,143,11,0,8,2,5,0,119,1,1,77
6,99.00%,160,11,1,11,3,3,0,194,1,1,77
7,83.33%,187,16,0,16,0,3,0,88,0,0,77
8,99.00%,153,15,1,26,2,2,1,182,1,1,77
9,99.00%,260,7,1,15,1,2,0,170,0,0,77
10,99.00%,188,26,2,19,3,3,0,164,0,0,77
11,99.00%,216,10,3,18,0,3,0,183,0,0,77
12,99.00%,225,17,0,17,1,1,0,196,0,2,77
13,99.00%,218,21,0,11,0,7,0,204,1,1,77
14,99.00%,153,11,0,8,2,1,0,180,0,1,77
15,99.00%,19,2,0,3,0,0,0,16,0,0,77
16,99.00%,48,2,0,1,0,0,0,35,0,0,77
17,99.00%,133,8,1,12,0,2,1,124,0,0,77
18,99.00%,151,7,1,13,2,1,0,108,0,0,77
19,99.00%,157,7,1,9,2,3,0,123,0,3,77
20,99.00%,55,10,0,3,0,0,0,53,0,0,77
21,99.00%,170,7,1,5,1,0,1,108,1,2,77
22,99.00%,108,9,0,13,2,0,0,85,0,2,77
23,99.00%,199,8,1,12,0,4,0,107,1,0,77
24,99.00%,202,13,2,18,1,3,0,125,0,1,77
25,99.00%,104,6,1,8,1,1,0,97,0,0,77
26,99.00%,141,16,3,12,1,2,0,110,0,0,77
27,99.00%,155,10,0,12,2,1,0,139,0,0,77
28,99.00%,128,12,1,13,4,1,0,91,1,0,77
29,99.00%,49,8,0,3,2,0,0,41,0,0,77
30,99.00%,73,5,1,3,0,0,0,53,0,0,77
31,99.00%,137,6,0,14,0,0,0,129,0,1,77
32,99.00%,180,11,0,15,1,0,1,111,0,2,77
33,99.00%,88,7,1,9,1,0,0,97,0,2,77
34,99.00%,179,13,2,28,1,4,1,139,0,0,77
35,99.00%,129,15,0,11,0,2,1,111,0,0,77
36,99.00%,130,11,0,3,0,3,1,101,0,0,77
37,99.00%,162,15,0,12,1,4,0,128,0,1,77
38,99.00%,94,4,1,4,0,2,1,87,0,0,77
39,99.00%,232,9,2,19,0,3,1,110,0,0,77
40,90.91%,179,14,0,22,2,3,0,96,0,0,77
41,99.00%,163,12,0,27,3,1,1,129,1,1,77
42,99.00%,170,14,2,12,1,3,1,124,1,1,77
43,90.91%,125,9,0,13,1,2,0,95,0,1,77
44,99.00%,198,17,2,14,0,0,0,126,1,0,77
45,99.00%,50,6,1,4,0,0,0,55,0,0,77
46,99.00%,241,14,2,23,2,2,0,179,1,0,77
47,99.00%,260,22,0,25,1,1,0,159,0,1,77
48,99.00%,136,6,0,12,2,0,1,109,1,1,77
49,90.91%,252,15,2,52,1,2,0,132,1,3,77
50,99.00%,246,12,1,21,0,5,0,138,1,0,77
51,90.91%,151,9,0,32,0,0,0,77,0,1,77
52,90.91%,221,15,1,20,0,3,0,132,0,1,77
53,90.91%,233,9,1,13,0,2,1,108,0,2,77
54,99.00%,0,0,0,0,0,0,0,0,0,0,77
55,99.00%,0,0,0,0,0,0,0,0,0,0,77
56,99.00%,0,0,0,0,0,0,0,0,0,0,77
57,99.00%,0,0,0,0,0,0,0,0,0,0,77
58,99.00%,0,0,0,0,0,0,0,0,0,0,77
59,99.00%,0,0,0,0,0,0,0,0,0,0,77
1,99.00%,153,16,0,12,2,3,0,123,0,1,78
2,99.00%,227,15,0,17,0,3,1,158,0,0,78
3,99.00%,137,17,1,7,0,2,1,149,0,0,78
4,99.00%,125,13,0,8,2,5,1,130,0,0,78
5,99.00%,113,20,0,7,2,0,1,86,0,1,78
6,99.00%,113,23,1,14,1,3,0,94,0,1,78
7,99.00%,159,23,0,13,0,2,0,132,0,2,78
8,99.00%,155,27,2,14,3,1,0,70,0,0,78
9,99.00%,183,12,0,27,1,3,0,62,0,0,78
10,99.00%,207,16,1,23,0,5,0,153,0,0,78
11,99.00%,208,18,1,23,2,1,0,65,0,3,78
12,99.00%,119,12,1,9,0,0,1,108,0,2,78
13,99.00%,107,15,0,6,1,2,1,129,0,0,78
14,99.00%,152,10,0,12,2,3,0,125,2,0,78
15,99.00%,25,3,0,5,0,0,0,17,0,0,78
16,99.00%,83,8,1,8,0,2,0,106,0,0,78
17,99.00%,148,19,2,15,2,0,0,146,0,0,78
18,99.00%,178,19,0,9,2,2,1,138,0,1,78
19,99.00%,146,11,2,18,3,0,1,128,0,0,78
20,99.00%,209,17,0,20,2,4,0,166,1,0,78
21,99.00%,145,13,0,13,0,0,0,103,0,1,78
22,99.00%,197,23,0,19,1,2,0,137,0,0,78
23,99.00%,213,28,0,22,1,3,0,139,1,0,78
24,99.00%,21,1,0,0,0,0,0,19,0,0,78
25,99.00%,192,29,0,23,2,2,0,167,0,3,78
26,99.00%,130,15,1,20,2,0,1,112,0,0,78
27,99.00%,195,29,0,30,3,2,0,177,0,0,78
28,99.00%,287,39,3,51,4,4,2,205,1,3,78
29,99.00%,139,20,2,12,1,0,0,110,1,1,78
30,99.00%,229,28,1,34,3,1,0,131,0,3,78
31,99.00%,94,9,1,11,1,1,0,85,0,0,78
32,99.00%,345,25,1,40,2,4,0,284,1,1,78
33,90.91%,144,14,0,13,0,1,0,128,0,0,78
34,90.91%,156,9,0,18,2,2,0,122,0,1,78
35,90.91%,147,19,0,20,0,2,0,119,1,0,78
36,99.00%,95,11,1,10,0,0,0,117,0,0,78
37,99.00%,149,29,1,14,5,1,0,159,0,1,78
38,90.91%,107,10,0,14,0,0,0,66,0,0,78
39,99.00%,156,12,0,21,0,6,0,128,0,2,78
40,99.00%,126,17,1,15,2,2,0,121,0,0,78
41,99.00%,145,13,1,11,1,1,0,154,0,0,78
42,99.00%,164,15,1,30,0,3,2,156,0,1,78
43,99.00%,205,29,0,21,3,1,0,150,1,0,78
44,99.00%,208,24,1,21,1,5,1,196,0,0,78
45,99.00%,170,30,2,23,0,7,1,134,0,0,78
46,99.00%,142,12,0,21,2,0,1,95,0,0,78
47,99.00%,121,13,0,13,0,2,0,136,0,0,78
48,99.00%,0,0,0,0,0,0,0,0,0,0,78
49,99.00%,187,20,1,28,2,1,0,163,0,4,78
50,99.00%,0,0,0,0,0,0,0,0,0,0,78
51,99.00%,0,0,0,0,0,0,0,0,0,0,78
52,99.00%,0,0,0,0,0,0,0,0,0,0,78
53,99.00%,0,0,0,0,0,0,0,0,0,0,78
1,99.00%,180,14,0,7,3,4,0,152,0,1,79
2,90.00%,21,2,0,2,0,1,0,18,0,0,79
3,99.00%,170,14,0,12,0,0,0,116,0,0,79
4,99.00%,97,11,0,7,1,0,1,84,0,0,79
5,99.00%,107,7,0,7,0,4,1,68,0,0,79
6,99.00%,100,8,1,6,0,0,0,82,0,1,79
7,99.00%,116,11,0,9,1,1,0,57,0,1,79
8,99.00%,112,4,0,10,0,4,0,84,0,2,79
9,99.00%,43,3,0,5,1,1,0,53,1,0,79
10,90.00%,139,4,0,12,1,1,0,101,1,0,79
11,90.00%,168,7,2,4,0,0,1,92,0,0,79
12,99.00%,198,7,0,13,0,2,0,106,0,1,79
13,90.00%,140,2,1,12,0,1,0,91,0,0,79
14,90.00%,119,7,1,9,1,2,0,117,0,2,79
15,90.00%,198,10,0,17,3,2,0,119,0,0,79
16,99.00%,93,18,0,6,1,0,0,67,0,1,79
17,99.00%,153,5,2,18,1,3,0,114,0,1,79
18,99.00%,119,7,0,10,0,1,0,93,0,1,79
19,99.00%,61,4,0,5,0,1,0,52,0,0,79
20,99.00%,176,10,0,15,2,0,2,122,0,0,79
21,99.00%,135,13,0,6,2,0,0,70,0,1,79
22,99.00%,148,14,1,12,0,2,1,141,0,0,79
23,99.00%,148,14,1,16,2,5,0,172,0,3,79
24,99.00%,124,10,1,12,1,0,1,114,0,0,79
25,99.00%,68,4,0,6,1,1,0,69,0,1,79
26,99.00%,93,8,2,7,0,0,0,61,0,0,79
27,99.00%,162,21,1,13,0,0,1,145,1,0,79
28,99.00%,209,17,0,17,2,3,0,134,0,0,79
29,99.00%,202,11,0,13,0,1,2,147,0,0,79
30,99.00%,108,5,1,14,0,3,0,92,0,0,79
31,99.00%,120,12,0,12,3,3,0,86,1,0,79
32,99.00%,194,27,0,11,4,5,1,172,0,1,79
33,83.33%,116,14,0,7,1,0,0,76,0,3,79
34,99.00%,217,18,2,22,0,2,1,109,0,0,79
35,99.00%,190,6,1,12,0,0,0,144,0,0,79
36,99.00%,141,8,0,11,0,2,0,103,0,1,79
37,99.00%,166,14,1,17,1,1,0,140,1,0,79
38,99.00%,105,9,1,9,2,0,1,110,1,3,79
39,99.00%,105,11,0,13,0,1,0,104,0,1,79
40,99.00%,174,13,1,13,3,2,0,220,0,1,79
41,99.00%,163,12,2,9,0,4,0,111,0,1,79
42,99.00%,154,10,0,20,3,1,1,104,0,0,79
43,99.00%,229,13,1,30,2,4,1,148,1,0,79
44,99.00%,151,12,0,12,1,2,0,98,0,0,79
45,99.00%,180,17,0,16,3,4,0,142,0,1,79
46,99.00%,191,12,0,21,3,4,0,164,0,0,79
47,99.00%,250,20,0,23,1,0,0,138,0,0,79
48,99.00%,24,1,0,3,1,0,0,22,0,0,79
49,99.00%,140,12,0,15,2,1,0,90,0,2,79
50,99.00%,144,12,1,17,2,0,3,135,0,0,79
51,99.00%,156,19,1,13,0,3,1,131,0,0,79
52,99.00%,163,18,0,12,1,2,1,154,0,1,79
53,99.00%,96,5,0,3,0,2,1,105,0,0,79
54,99.00%,214,15,1,17,2,3,2,225,0,0,79
55,99.00%,291,28,3,21,3,7,0,289,0,3,79
56,99.00%,154,12,3,12,1,1,2,157,0,1,79
57,99.00%,57,11,1,7,1,3,0,74,0,0,79
1,99.00%,132,28,1,7,0,2,0,87,0,0,80
2,99.00%,141,22,0,22,2,1,1,86,1,0,80
3,90.00%,127,16,1,10,1,1,0,91,0,1,80
4,99.00%,90,56,0,14,2,0,0,172,0,1,80
5,99.00%,259,26,0,18,2,1,0,114,1,2,80
6,99.00%,273,69,2,29,2,2,1,175,0,0,80
7,87.50%,171,53,0,19,0,2,2,172,0,0,80
8,99.00%,249,27,1,45,2,2,0,160,0,0,80
9,99.00%,194,39,1,20,3,0,0,126,0,2,80
10,99.00%,155,67,3,12,0,0,0,177,0,1,80
11,99.00%,193,41,1,13,6,0,0,157,2,1,80
12,99.00%,235,37,2,25,3,0,0,182,1,0,80
13,99.00%,235,48,0,35,3,2,1,201,0,1,80
14,99.00%,250,51,2,35,4,5,0,139,1,1,80
15,99.00%,241,30,3,22,4,2,0,186,1,0,80
16,99.00%,228,30,2,28,4,1,0,156,0,1,80
17,99.00%,270,33,1,41,0,2,0,194,2,1,80
18,99.00%,159,51,0,17,1,1,0,172,1,1,80
19,99.00%,133,60,0,24,4,1,0,142,0,0,80
20,99.00%,174,119,3,22,9,0,0,382,1,3,80
21,99.00%,304,47,2,59,4,2,0,172,1,0,80
22,99.00%,109,19,1,5,0,1,0,133,0,0,80
23,99.00%,208,120,0,22,10,0,0,268,1,1,80
24,99.00%,193,64,5,22,1,0,0,183,0,1,80
25,99.00%,99,21,0,11,0,1,0,138,0,1,80
26,87.50%,239,50,0,13,0,0,0,231,0,2,80
27,87.50%,64,7,0,5,0,0,1,53,0,0,80
28,99.00%,43,3,0,8,0,0,0,30,0,0,80
29,87.50%,256,45,3,12,2,1,1,187,0,0,80
30,99.00%,235,33,2,21,1,2,0,140,0,0,80
31,99.00%,200,27,0,18,3,0,0,131,1,0,80
32,99.00%,136,20,0,8,1,1,0,79,0,0,80
33,99.00%,63,16,0,8,1,0,1,75,0,0,80
34,99.00%,193,14,0,19,2,2,0,158,0,1,80
35,99.00%,228,24,1,19,0,1,0,217,1,0,80
36,99.00%,119,3,0,9,0,0,0,84,0,0,80
37,99.00%,206,20,1,13,0,2,0,150,0,1,80
38,60.00%,51,3,1,0,0,1,0,26,0,0,80
39,90.00%,155,19,0,14,1,2,0,89,1,1,80
40,99.00%,239,22,0,21,3,0,0,88,0,1,80
41,99.00%,272,102,4,25,7,4,0,302,0,1,80
42,87.50%,227,70,0,11,1,0,0,200,1,3,80
43,99.00%,210,49,0,15,0,2,0,159,0,0,80
44,99.00%,168,36,0,10,1,3,0,133,0,1,80
45,99.00%,181,36,3,23,1,4,0,153,1,0,80
46,99.00%,149,15,0,16,0,2,1,82,0,0,80
47,99.00%,137,37,0,12,2,2,1,118,0,0,80
48,99.00%,110,32,1,11,1,1,0,129,1,2,80
49,99.00%,150,34,1,14,3,1,0,143,0,2,80
50,99.00%,168,20,1,8,2,4,0,97,0,1,80
51,99.00%,133,10,1,13,1,2,0,139,0,2,80
52,99.00%,14,0,0,0,0,0,0,23,0,0,80
53,99.00%,183,28,0,31,3,2,0,113,0,1,80
54,99.00%,417,8,3,17,2,4,2,262,1,3,80
55,99.00%,203,34,1,23,5,3,0,134,0,0,80
56,90.00%,315,16,1,39,0,1,0,105,0,0,80
57,90.00%,344,32,0,46,2,1,0,159,1,1,80
58,60.00%,0,0,0,0,0,0,0,0,0,0,80
59,99.00%,0,0,0,0,0,0,0,0,0,0,80
60,99.00%,0,0,0,0,0,0,0,0,0,0,80
61,60.00%,0,0,0,0,0,0,0,0,0,0,80
1,99.00%,131,18,4,22,3,3,0,137,0,1,81
2,99.00%,195,19,0,20,0,3,0,161,0,0,81
3,99.00%,105,30,0,14,0,0,0,99,0,0,81
4,99.00%,80,8,0,3,2,2,0,114,0,0,81
5,99.00%,128,31,0,29,2,0,0,112,0,0,81
6,99.00%,182,23,3,36,6,3,2,173,0,1,81
7,99.00%,146,12,0,38,0,2,0,82,0,1,81
8,99.00%,185,22,0,48,3,2,0,146,1,3,81
9,99.00%,167,13,0,24,1,1,2,131,0,0,81
10,99.00%,238,43,1,45,4,5,0,243,0,4,81
11,99.00%,323,49,1,59,6,1,1,220,0,2,81
12,99.00%,272,47,0,62,1,0,2,202,1,6,81
13,99.00%,26,4,1,5,0,0,0,18,0,1,81
