state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary,FIPS,TOWN
NY,3.6059E+11,394,94,489,0.6135,TRUE,36059,2
NY,3.6059E+11,509,97,607,0.6787,TRUE,36059,2
NY,3.6059E+11,775,137,916,0.6965,TRUE,36059,2
NY,3.6059E+11,648,135,790,0.6494,TRUE,36059,2
NY,3.6059E+11,376,44,420,0.7905,TRUE,36059,2
NY,3.6059E+11,268,44,315,0.7111,TRUE,36059,2
NY,3.6059E+11,662,85,751,0.7683,TRUE,36059,2
NY,3.6059E+11,219,31,250,0.752,TRUE,36059,2
NY,3.6059E+11,404,252,663,0.2293,TRUE,36059,2
NY,3.6059E+11,491,279,779,0.2721,TRUE,36059,2
NY,3.6059E+11,477,59,541,0.7726,TRUE,36059,2
NY,3.6059E+11,848,112,964,0.7635,TRUE,36059,2
NY,3.6059E+11,557,75,637,0.7567,TRUE,36059,2
NY,3.6059E+11,654,99,761,0.7293,TRUE,36059,2
NY,3.6059E+11,45,14,59,0.5254,TRUE,36059,2
NY,3.6059E+11,441,96,539,0.6401,TRUE,36059,2
NY,3.6059E+11,780,167,959,0.6392,TRUE,36059,2
NY,3.6059E+11,719,137,865,0.6728,TRUE,36059,2
NY,3.6059E+11,624,136,767,0.6362,TRUE,36059,2
NY,3.6059E+11,464,89,554,0.6769,TRUE,36059,2
NY,3.6059E+11,621,171,797,0.5646,TRUE,36059,2
NY,3.6059E+11,685,130,821,0.676,TRUE,36059,2
NY,3.6059E+11,582,109,694,0.6816,TRUE,36059,2
NY,3.6059E+11,656,119,779,0.6893,TRUE,36059,2
NY,3.6059E+11,996,130,1131,0.7657,TRUE,36059,2
NY,3.6059E+11,557,109,668,0.6707,TRUE,36059,2
NY,3.6059E+11,543,99,648,0.6852,TRUE,36059,2
NY,3.6059E+11,414,95,510,0.6255,TRUE,36059,2
NY,3.6059E+11,505,98,605,0.6727,TRUE,36059,2
NY,3.6059E+11,612,96,710,0.7268,TRUE,36059,2
NY,3.6059E+11,473,89,563,0.6821,TRUE,36059,2
NY,3.6059E+11,500,113,613,0.6313,TRUE,36059,2
NY,3.6059E+11,459,77,539,0.7087,TRUE,36059,2
NY,3.6059E+11,421,127,552,0.5326,TRUE,36059,2
NY,3.6059E+11,577,164,750,0.5507,TRUE,36059,2
NY,3.6059E+11,204,68,273,0.4982,TRUE,36059,2
NY,3.6059E+11,451,209,662,0.3656,TRUE,36059,2
NY,3.6059E+11,550,51,611,0.8167,TRUE,36059,2
NY,3.6059E+11,847,169,1019,0.6654,TRUE,36059,2
NY,3.6059E+11,418,148,573,0.4712,TRUE,36059,2
NY,3.6059E+11,608,117,727,0.6754,TRUE,36059,2
NY,3.6059E+11,235,80,315,0.4921,TRUE,36059,2
NY,3.6059E+11,573,290,869,0.3257,TRUE,36059,2
NY,3.6059E+11,160,53,214,0.5,TRUE,36059,2
NY,3.6059E+11,422,99,526,0.6141,TRUE,36059,2
NY,3.6059E+11,470,139,614,0.5391,TRUE,36059,2
NY,3.6059E+11,447,125,573,0.562,TRUE,36059,2
NY,3.6059E+11,279,234,513,0.0877,TRUE,36059,2
NY,3.6059E+11,17,26,43,-0.2093,TRUE,36059,2
NY,3.6059E+11,15,2,17,0.7647,TRUE,36059,2
NY,3.6059E+11,269,67,336,0.6012,TRUE,36059,2
NY,3.6059E+11,565,148,715,0.5832,TRUE,36059,2
NY,3.6059E+11,1,4,5,-0.6,TRUE,36059,2
NY,3.6059E+11,40,4,44,0.8182,TRUE,36059,2
NY,3.6059E+11,197,94,291,0.354,TRUE,36059,2
NY,3.6059E+11,368,78,449,0.6459,TRUE,36059,2
NY,3.6059E+11,265,85,354,0.5085,TRUE,36059,2
NY,3.6059E+11,544,134,682,0.6012,TRUE,36059,2
NY,3.6059E+11,56,167,226,-0.4912,TRUE,36059,2
NY,3.6059E+11,227,446,677,-0.3235,TRUE,36059,2
NY,3.6059E+11,215,503,722,-0.3989,TRUE,36059,2
NY,3.6059E+11,335,632,975,-0.3046,TRUE,36059,2
NY,3.6059E+11,187,676,901,-0.5427,TRUE,36059,2
NY,3.6059E+11,219,579,809,-0.445,TRUE,36059,2
NY,3.6059E+11,154,328,486,-0.358,TRUE,36059,2
NY,3.6059E+11,285,531,820,-0.3,TRUE,36059,2
NY,3.6059E+11,344,581,942,-0.2516,TRUE,36059,2
NY,3.6059E+11,237,466,709,-0.323,TRUE,36059,2
NY,3.6059E+11,3,7,10,-0.4,TRUE,36059,2
NY,3.6059E+11,160,333,503,-0.3439,TRUE,36059,2
NY,3.6059E+11,383,417,817,-0.0416,TRUE,36059,2
NY,3.6059E+11,291,370,679,-0.1163,TRUE,36059,2
NY,3.6059E+11,402,446,867,-0.0507,TRUE,36059,2
NY,3.6059E+11,313,403,731,-0.1231,TRUE,36059,2
NY,3.6059E+11,0,2,2,-1,TRUE,36059,2
NY,3.6059E+11,475,472,959,0.0031,TRUE,36059,2
NY,3.6059E+11,320,243,571,0.1349,TRUE,36059,2
NY,3.6059E+11,130,246,383,-0.3029,TRUE,36059,2
NY,3.6059E+11,128,307,441,-0.4059,TRUE,36059,2
NY,3.6059E+11,354,361,730,-0.0096,TRUE,36059,2
NY,3.6059E+11,254,330,590,-0.1288,TRUE,36059,2
NY,3.6059E+11,247,279,536,-0.0597,TRUE,36059,2
NY,3.6059E+11,141,22,165,0.7212,TRUE,36059,2
NY,3.6059E+11,699,540,1241,0.1281,TRUE,36059,2
NY,3.6059E+11,280,127,412,0.3714,TRUE,36059,2
NY,3.6059E+11,310,550,874,-0.2746,TRUE,36059,2
NY,3.6059E+11,441,677,1136,-0.2077,TRUE,36059,2
NY,3.6059E+11,276,395,680,-0.175,TRUE,36059,2
NY,3.6059E+11,246,468,722,-0.3075,TRUE,36059,2
NY,3.6059E+11,116,187,307,-0.2313,TRUE,36059,2
NY,3.6059E+11,202,299,512,-0.1895,TRUE,36059,2
NY,3.6059E+11,115,175,300,-0.2,TRUE,36059,2
NY,3.6059E+11,335,507,851,-0.2021,TRUE,36059,2
NY,3.6059E+11,176,331,512,-0.3027,TRUE,36059,2
NY,3.6059E+11,209,426,637,-0.3407,TRUE,36059,2
NY,3.6059E+11,166,299,468,-0.2842,TRUE,36059,2
NY,3.6059E+11,396,485,892,-0.0998,TRUE,36059,2
NY,3.6059E+11,288,517,820,-0.2793,TRUE,36059,2
NY,3.6059E+11,337,453,807,-0.1437,TRUE,36059,2
NY,3.6059E+11,211,436,660,-0.3409,TRUE,36059,2
NY,3.6059E+11,285,519,812,-0.2882,TRUE,36059,2
