"ED","CD","SD","AD","ADED"
21,15,32,79,"AD: 79 ED: 021"
29,13,33,78,"AD: 78 ED: 029"
3,15,33,80,"AD: 80 ED: 003"
3,13,31,86,"AD: 86 ED: 003"
45,14,34,87,"AD: 87 ED: 045"
17,14,34,82,"AD: 82 ED: 017"
43,15,29,77,"AD: 77 ED: 043"
8,14,34,87,"AD: 87 ED: 008"
45,15,29,77,"AD: 77 ED: 045"
26,14,29,84,"AD: 84 ED: 026"
27,15,36,80,"AD: 80 ED: 027"
53,14,34,82,"AD: 82 ED: 053"
4,15,29,77,"AD: 77 ED: 004"
16,15,29,84,"AD: 84 ED: 016"
21,13,31,86,"AD: 86 ED: 021"
28,13,33,80,"AD: 80 ED: 028"
54,14,32,84,"AD: 84 ED: 054"
15,13,31,77,"AD: 77 ED: 015"
13,15,31,81,"AD: 81 ED: 013"
33,14,33,87,"AD: 87 ED: 033"
52,15,33,80,"AD: 80 ED: 052"
30,15,32,77,"AD: 77 ED: 030"
37,14,34,82,"AD: 82 ED: 037"
36,14,33,87,"AD: 87 ED: 036"
1,13,31,86,"AD: 86 ED: 001"
16,15,29,77,"AD: 77 ED: 016"
48,15,33,78,"AD: 78 ED: 048"
52,14,11,85,"AD: 85 ED: 052"
50,13,31,78,"AD: 78 ED: 050"
15,10,26,51,"AD: 51 ED: 015"
22,9,17,47,"AD: 47 ED: 022"
45,10,17,51,"AD: 51 ED: 045"
14,9,22,45,"AD: 45 ED: 014"
20,11,26,46,"AD: 46 ED: 020"
61,8,23,46,"AD: 46 ED: 061"
24,11,26,46,"AD: 46 ED: 024"
2,9,21,44,"AD: 44 ED: 002"
12,11,26,46,"AD: 46 ED: 012"
16,11,26,46,"AD: 46 ED: 016"
49,8,25,56,"AD: 56 ED: 049"
40,8,23,45,"AD: 45 ED: 040"
83,11,26,64,"AD: 64 ED: 083"
22,10,26,51,"AD: 51 ED: 022"
57,9,21,44,"AD: 44 ED: 057"
7,10,26,51,"AD: 51 ED: 007"
7,8,19,59,"AD: 59 ED: 007"
47,9,17,47,"AD: 47 ED: 047"
86,11,26,64,"AD: 64 ED: 086"
36,11,26,49,"AD: 49 ED: 036"
39,10,20,44,"AD: 44 ED: 039"
60,10,26,52,"AD: 52 ED: 060"
34,11,17,47,"AD: 47 ED: 034"
32,11,17,49,"AD: 49 ED: 032"
38,7,18,53,"AD: 53 ED: 038"
65,8,23,41,"AD: 41 ED: 065"
